Participant ID,Item,RT ,EB,PR,Domain,Age
1,6,2,3,4,Ethical,26
1,9,1,1,7,Ethical,26
1,14,4,2,5,Ethical,26
1,27,3,2,4,Ethical,26
1,28,3,5,2,Ethical,26
1,3,1,6,4,Financial,26
1,4,4,6,3,Financial,26
1,8,1,6,4,Financial,26
1,11,2,6,3,Financial,26
1,13,5,6,3,Financial,26
1,16,5,7,4,Financial,26
1,5,6,3,3,Health/Safety,26
1,15,3,1,6,Health/Safety,26
1,18,3,1,6,Health/Safety,26
1,21,5,1,2,Health/Safety,26
1,24,5,5,4,Health/Safety,26
1,2,6,5,2,Recreational,26
1,10,2,5,7,Recreational,26
1,12,6,5,2,Recreational,26
1,17,2,5,5,Recreational,26
1,22,1,5,6,Recreational,26
1,23,1,2,7,Recreational,26
1,1,7,1,1,Social,26
1,7,6,4,3,Social,26
1,19,7,7,5,Social,26
1,20,5,4,2,Social,26
1,25,7,6,3,Social,26
1,26,4,7,4,Social,26
2,6,4,4,3,Ethical,24
2,9,1,2,3,Ethical,24
2,14,1,1,3,Ethical,24
2,27,6,2,6,Ethical,24
2,28,5,2,2,Ethical,24
2,3,7,4,5,Financial,24
2,4,7,4,2,Financial,24
2,8,2,4,6,Financial,24
2,11,3,7,5,Financial,24
2,13,6,4,4,Financial,24
2,16,3,7,5,Financial,24
2,5,2,1,6,Health/Safety,24
2,15,1,2,2,Health/Safety,24
2,18,5,2,3,Health/Safety,24
2,21,2,2,1,Health/Safety,24
2,24,5,1,4,Health/Safety,24
2,2,7,4,5,Recreational,24
2,10,6,3,2,Recreational,24
2,12,7,4,1,Recreational,24
2,17,7,6,3,Recreational,24
2,22,1,1,6,Recreational,24
2,23,7,3,2,Recreational,24
2,1,6,2,1,Social,24
2,7,7,2,2,Social,24
2,19,7,7,1,Social,24
2,20,1,1,1,Social,24
2,25,7,5,1,Social,24
2,26,6,6,1,Social,24
3,6,5,4,7,Ethical,25
3,9,1,2,7,Ethical,25
3,14,1,1,7,Ethical,25
3,27,3,1,7,Ethical,25
3,28,2,2,2,Ethical,25
3,3,3,1,7,Financial,25
3,4,7,7,2,Financial,25
3,8,2,1,6,Financial,25
3,11,7,4,5,Financial,25
3,13,2,2,6,Financial,25
3,16,7,5,6,Financial,25
3,5,6,4,5,Health/Safety,25
3,15,2,1,5,Health/Safety,25
3,18,7,2,6,Health/Safety,25
3,21,3,1,7,Health/Safety,25
3,24,3,1,6,Health/Safety,25
3,2,7,6,5,Recreational,25
3,10,5,4,6,Recreational,25
3,12,4,4,6,Recreational,25
3,17,7,5,4,Recreational,25
3,22,5,5,6,Recreational,25
3,23,3,7,7,Recreational,25
3,1,7,5,2,Social,25
3,7,7,5,6,Social,25
3,19,7,6,6,Social,25
3,20,7,5,6,Social,25
3,25,6,5,5,Social,25
3,26,7,5,5,Social,25
